WORD,WORD,SyntCat,Category,subcat1,subcat2,subcat3,subcat4,Article,hits,misses,false_alarms,correct_rejections,acc,false_alarm_rate,hit_rate,num_synonyms,num_ratings_synonyms,num_meanings,num_ratings_meanings,word_upper,word,arousal,concrete,fam,image,valence,word_lower_no_article,Word_article,Lg10WF,Lg10CD,google_ngram_frequency,Word,LgTV_T=1700,LgDF,orth_neighborhood,phon_neighborhood,tokens_used,orth_vals_used,phon_vals_used,log_orth_neighborhood,log_phon_neighborhood
A THORACIC CAVITY,A THORACIC CAVITY,NOUN,human body,internal,,,,a,52,21,2,82,0.8535031847133758,0.023809523809523808,0.7123287671232876,0.75,20.0,1.0416666666666667,24.0,A THORACIC CAVITY,a thoracic cavity,2.27272727272727,4.20689655172414,2.93333333333333,2.34615384615385,2.36,thoracic cavity,a thoracic cavity,,,-21.56756358761773,A THORACIC CAVITY,,,0.0,0.5,thoracic;cavity,0;0,0;1,0.0,0.4054651081081644
BETH,BETH,NOUN,common names,girl,,,,,49,20,6,69,0.8194444444444444,0.08,0.7101449275362319,0.1153846153846153,26.0,1.2692307692307692,26.0,BETH,Beth,2.80952380952381,3.51724137931034,3.06666666666667,2.65384615384615,3.12,Beth,Beth,,,-11.395217526077795,BETH,1.642228,4.317488,8.0,17.0,beth,8,17,2.1972245773362196,2.8903717578961645
A COWARD,A COWARD,NOUN,people,Other,,,,a,39,26,13,57,0.7111111111111111,0.18571428571428572,0.6,2.814814814814815,27.0,1.1666666666666667,30.0,A COWARD,a coward,2.40909090909091,2.27586206896552,4.6,2.69230769230769,1.72,coward,a coward,2.8663,2.7152,-13.39328261741052,A COWARD,2.220109,2.995732,2.0,3.0,coward,2,3,1.0986122886681098,1.3862943611198906
TO UNLACE,TO UNLACE,VERB,,,,,,to,37,33,7,72,0.7315436241610739,0.08860759493670886,0.5285714285714286,1.96,25.0,1.0384615384615383,26.0,TO UNLACE,to unlace,2.85714285714286,3.41379310344828,4.43333333333333,3.42307692307692,3.08,unlace,to unlace,0.301,0.301,-17.006904973558008,TO UNLACE,,,,,unlace,,,,
SILICON,SILICON,NOUN,chemical element,metalloid,famous,,,,74,20,8,92,0.8556701030927835,0.08,0.7872340425531915,0.56,25.0,1.3103448275862069,29.0,SILICON,silicon,2.63636363636364,4.31034482758621,4.06666666666667,3.30769230769231,3.1304347826087,silicon,silicon,1.9445,1.6812,-11.453007784923717,SILICON,1.89085,3.912023,1.0,1.0,silicon,1,1,0.6931471805599453,0.6931471805599453
LOWLY,LOWLY,ADJ,,,,,,,44,37,1,89,0.7777777777777778,0.011111111111111112,0.5432098765432098,3.3043478260869565,23.0,1.4285714285714286,28.0,LOWLY,lowly,1.77272727272727,1.75862068965517,4.13333333333333,1.65384615384615,2.28,lowly,lowly,1.9445,1.8261,-13.187703284181104,LOWLY,2.238047,2.564949,2.0,12.0,lowly,2,12,1.0986122886681098,2.5649493574615367
TO ZIGZAG,TO ZIGZAG,VERB,,,,,,to,53,12,3,67,0.8888888888888888,0.04285714285714286,0.8153846153846154,1.6153846153846154,26.0,1.2666666666666666,30.0,TO ZIGZAG,to zigzag,3.77272727272727,3.06896551724138,4.43333333333333,4.0,3.04,zigzag,to zigzag,1.3802,1.2304,-17.285997638525036,TO ZIGZAG,2.4987,3.091042,0.0,0.0,zigzag,0,0,0.0,0.0
TO WEDGE,TO WEDGE,VERB,,,,,,to,70,24,18,81,0.7823834196891192,0.18181818181818182,0.7446808510638298,2.3461538461538463,26.0,1.4333333333333331,30.0,TO WEDGE,to wedge,3.0,2.67857142857143,4.43333333333333,2.73076923076923,2.8,wedge,to wedge,2.0792,1.9912,-15.906083221728156,TO WEDGE,2.555287,3.931826,4.0,12.0,wedge,4,12,1.6094379124341003,2.5649493574615367
BETTY WHITE,BETTY WHITE,NOUN,famous people,Actors,,,,,59,6,3,75,0.9370629370629371,0.038461538461538464,0.9076923076923077,0.074074074074074,27.0,1.0333333333333334,30.0,BETTY WHITE,Betty White,3.18181818181818,4.82758620689655,4.23333333333333,4.88461538461539,3.95833333333333,Betty White,Betty White,,,-17.483165640761463,BETTY WHITE,,,5.5,28.0,betty;white,3;8,12;44,1.8718021769015913,3.367295829986474
UNFETTERED,UNFETTERED,ADJ,,,,,,,53,36,3,93,0.7891891891891892,0.03125,0.5955056179775281,2.272727272727273,22.0,1.0416666666666667,24.0,UNFETTERED,unfettered,2.81818181818182,1.72413793103448,3.43333333333333,1.42307692307692,3.48,unfettered,unfettered,1.2788,1.2553,-13.722043153854877,UNFETTERED,,,0.0,0.0,unfettered,0,0,0.0,0.0
TO LOLL,TO LOLL,VERB,,,,,,to,61,17,6,84,0.8630952380952381,0.06666666666666667,0.782051282051282,2.125,16.0,1.2857142857142858,14.0,TO LOLL,to loll,1.76190476190476,2.24137931034483,3.1,1.73076923076923,3.16666666666667,loll,to loll,0.7782,0.699,-17.505857112238793,TO LOLL,,,,,loll,,,,
ROBERT HAYDEN,ROBERT HAYDEN,NOUN,famous people,Literature,,,,,42,33,3,77,0.7677419354838709,0.0375,0.56,0.0,20.0,1.0,22.0,ROBERT HAYDEN,Robert Hayden,2.68181818181818,4.5,1.6,3.46153846153846,3.16,Robert Hayden,Robert Hayden,,,-17.429098471319517,ROBERT HAYDEN,,,1.0,3.0,robert;hayden,1;nan,3;nan,0.6931471805599453,1.3862943611198906
TO VACUUM,TO VACUUM,VERB,,,,,,to,63,15,13,74,0.8303030303030303,0.14942528735632185,0.8076923076923077,1.0384615384615383,26.0,1.3,30.0,TO VACUUM,to vacuum,2.22727272727273,3.71428571428571,4.79310344827586,4.19230769230769,3.16,vacuum,to vacuum,2.4698,2.3201,-15.897293856257408,TO VACUUM,2.80336,5.030438,0.0,1.0,vacuum,0,1,0.0,0.6931471805599453
MALLORY,MALLORY,NOUN,common names,girl,,,,,66,15,9,82,0.8604651162790697,0.0989010989010989,0.8148148148148148,0.0,19.0,1.2173913043478262,23.0,MALLORY,Mallory,2.90909090909091,3.60714285714286,2.82758620689655,2.38461538461538,3.12,Mallory,Mallory,,,-13.122367813725598,MALLORY,0.510826,2.484907,,,mallory,,,,
TO OCCUR,TO OCCUR,VERB,,,,,,to,42,47,14,81,0.6684782608695652,0.14736842105263157,0.47191011235955055,2.576923076923077,26.0,1.2666666666666666,30.0,TO OCCUR,to occur,3.04545454545455,2.27586206896552,4.53333333333333,1.32,3.24,occur,to occur,2.5798,2.5289,-11.540467277921488,TO OCCUR,3.894368,6.74876,1.0,3.0,occur,1,3,0.6931471805599453,1.3862943611198906
A GOVERNESS,A GOVERNESS,NOUN,people,Family,,,,a,57,16,4,76,0.869281045751634,0.05,0.7808219178082192,1.12,25.0,1.1666666666666667,30.0,A GOVERNESS,a governess,2.63636363636364,3.6551724137931,3.63333333333333,3.03846153846154,3.28,governess,a governess,1.7404,1.4472,-14.971900091182992,A GOVERNESS,2.206441,3.091042,0.0,0.0,governess,0,0,0.0,0.0
CONVINCING,CONVINCING,ADJ,,,,,,,37,32,15,57,0.6666666666666666,0.20833333333333334,0.5362318840579711,2.814814814814815,27.0,1.3,30.0,CONVINCING,convincing,3.27272727272727,1.6551724137931,4.66666666666667,1.88461538461538,3.68,convincing,convincing,2.549,2.4983,-11.62576279396912,CONVINCING,2.850225,4.025352,0.0,0.0,convincing,0,0,0.0,0.0
TO STRAGGLE,TO STRAGGLE,VERB,,,,,,to,48,29,14,69,0.73125,0.1686746987951807,0.6233766233766234,2.35,20.0,1.35,20.0,TO STRAGGLE,to straggle,2.54545454545455,2.27586206896552,3.53333333333333,2.15384615384615,2.16,straggle,to straggle,0.301,0.301,-17.75249863015519,TO STRAGGLE,,,,,straggle,,,,
TO CHAPERONE,TO CHAPERONE,VERB,,,,,,to,52,22,9,72,0.8,0.1111111111111111,0.7027027027027027,1.6,25.0,1.0666666666666669,30.0,TO CHAPERONE,to chaperone,1.86363636363636,2.89285714285714,4.36666666666667,2.80769230769231,3.24,chaperone,to chaperone,2.0043,1.9138,-16.819839072829023,TO CHAPERONE,,,1.0,1.0,chaperone,1,1,0.6931471805599453,0.6931471805599453
SHRILL,SHRILL,ADJ,,,,,,,53,35,4,90,0.7857142857142857,0.0425531914893617,0.6022727272727273,2.652173913043478,23.0,1.2,30.0,SHRILL,shrill,3.77272727272727,2.24137931034483,4.13333333333333,2.07692307692308,1.96,shrill,shrill,1.3979,1.3424,-12.983222752699971,SHRILL,2.662588,4.276666,1.0,6.0,shrill,1,6,0.6931471805599453,1.9459101490553132
ZINC,ZINC,NOUN,chemical element,metal,famous,,,,60,20,5,85,0.8529411764705882,0.05555555555555555,0.75,0.1923076923076923,26.0,1.2413793103448276,29.0,ZINC,zinc,1.9047619047619,4.27586206896552,3.93333333333333,2.96153846153846,3.12,zinc,zinc,1.6435,1.5051,-11.63980302685234,ZINC,1.858899,4.330733,1.0,14.0,zinc,1,14,0.6931471805599453,2.70805020110221
A BRAZIL NUT,A BRAZIL NUT,NOUN,food,nut,,,,a,66,12,4,79,0.9006211180124224,0.04819277108433735,0.8461538461538461,0.3478260869565217,23.0,1.137931034482759,29.0,A BRAZIL NUT,a Brazil nut,2.5,4.96551724137931,3.96666666666667,4.07692307692308,3.54166666666667,Brazil nut,a Brazil nut,,,-18.92850629028698,A BRAZIL NUT,,,6.5,15.5,brazil;nut,0;13,0;31,2.0149030205422647,2.803360380906535
CATHERINE DE MEDICI,CATHERINE DE MEDICI,NOUN,famous people,"Politicians,history",,,,,49,30,2,81,0.8024691358024691,0.024096385542168676,0.620253164556962,0.1052631578947368,19.0,1.0,20.0,CATHERINE DE MEDICI,Catherine de Medici,2.86363636363636,4.55172413793103,2.2,3.46153846153846,3.04,Catherine de Medici,Catherine de Medici,,,-16.74997382951609,CATHERINE DE MEDICI,,,1.0,0.0,catherine;de;medici,1;nan;nan,0;nan;nan,0.6931471805599453,0.0
A PATRIOT,A PATRIOT,NOUN,people,Politics,,,,a,52,20,12,67,0.7880794701986755,0.1518987341772152,0.7222222222222222,1.7692307692307692,26.0,1.4666666666666666,30.0,A PATRIOT,a patriot,3.40909090909091,2.6551724137931,4.43333333333333,3.08,3.92,patriot,a patriot,2.1271,1.9823,-15.05541744279124,A PATRIOT,2.294217,3.7612,1.0,1.0,patriot,1,1,0.6931471805599453,0.6931471805599453
TO ENTICE,TO ENTICE,VERB,,,,,,to,36,43,12,74,0.6666666666666666,0.13953488372093023,0.45569620253164556,2.7777777777777777,27.0,1.3,30.0,TO ENTICE,to entice,4.22727272727273,1.96551724137931,4.4,2.07692307692308,3.58333333333333,entice,to entice,1.4314,1.415,-14.19431736694237,TO ENTICE,,,1.0,1.0,entice,1,1,0.6931471805599453,0.6931471805599453
A HEN,A HEN,NOUN,living things,animal,bird,,,a,59,23,4,85,0.8421052631578947,0.0449438202247191,0.7195121951219512,1.2,25.0,1.4333333333333331,30.0,A HEN,a hen,2.31818181818182,4.82758620689655,4.76666666666667,4.92307692307692,3.33333333333333,hen,a hen,2.2148,2.0334,-14.706312566384373,A HEN,2.06897,4.564348,23.0,27.0,hen,23,27,3.1780538303479458,3.332204510175204
CHARLEMAGNE,CHARLEMAGNE,NOUN,famous people,"Politicians,history",,,,,67,13,3,81,0.9024390243902439,0.03571428571428571,0.8375,0.05,20.0,1.173913043478261,23.0,CHARLEMAGNE,Charlemagne,3.13636363636364,4.06896551724138,3.46666666666667,2.96153846153846,2.96,Charlemagne,Charlemagne,,,-13.334715860412643,CHARLEMAGNE,1.098612,3.258097,,,charlemagne,,,,
A HOMELESS SHELTER,A HOMELESS SHELTER,NOUN,human dwelling,,,,,a,58,18,5,83,0.8597560975609756,0.056818181818181816,0.7631578947368421,1.1851851851851851,27.0,1.0666666666666669,30.0,A HOMELESS SHELTER,a homeless shelter,2.40909090909091,4.37931034482759,4.6,4.15384615384615,2.24,homeless shelter,a homeless shelter,,,-16.2962749297224,A HOMELESS SHELTER,,,1.0,2.0,homeless;shelter,1;1,2;2,0.6931471805599453,1.0986122886681098
GRACEFUL,GRACEFUL,ADJ,,,,,,,35,43,11,93,0.7032967032967034,0.10576923076923077,0.44871794871794873,3.2222222222222223,27.0,1.1666666666666667,30.0,GRACEFUL,graceful,2.81818181818182,1.86206896551724,4.55172413793103,2.80769230769231,4.48,graceful,graceful,2.0755,2.0334,-12.441815709131948,GRACEFUL,3.130045,4.787492,1.0,1.0,graceful,1,1,0.6931471805599453,0.6931471805599453
A LOUSE,A LOUSE,NOUN,living things,animal,invertebrate,insect,,a,46,23,4,69,0.8098591549295775,0.0547945205479452,0.6666666666666666,2.176470588235294,17.0,1.6666666666666667,24.0,A LOUSE,a louse,2.27272727272727,3.53571428571429,3.36666666666667,2.61538461538462,1.6,louse,a louse,1.9395,1.8062,-16.367253718393407,A LOUSE,,,11.0,20.0,louse,11,20,2.4849066497880004,3.044522437723423
VENGEFUL,VENGEFUL,ADJ,,,,,,,42,42,3,88,0.7428571428571429,0.03296703296703297,0.5,2.68,25.0,1.1333333333333333,30.0,VENGEFUL,vengeful,4.40909090909091,1.51724137931034,4.33333333333333,2.03846153846154,1.45833333333333,vengeful,vengeful,1.716,1.6812,-13.87135095414124,VENGEFUL,,,0.0,0.0,vengeful,0,0,0.0,0.0
TO MELT,TO MELT,VERB,,,,,,to,38,40,10,77,0.696969696969697,0.11494252873563218,0.48717948717948717,1.6538461538461535,26.0,1.6333333333333333,30.0,TO MELT,to melt,2.72727272727273,3.03448275862069,4.8,3.96153846153846,3.2,melt,to melt,2.5729,2.4281,-13.48474935316147,TO MELT,3.064169,5.043425,11.0,14.0,melt,11,14,2.4849066497880004,2.70805020110221
INGRID,INGRID,NOUN,common names,girl,,,,,54,20,4,75,0.8431372549019608,0.05063291139240506,0.7297297297297297,0.1363636363636363,22.0,1.24,25.0,INGRID,Ingrid,3.14285714285714,3.51724137931034,2.93333333333333,2.68,2.96,Ingrid,Ingrid,,,-13.371163558255256,INGRID,,,,,ingrid,,,,
TO WHIZ,TO WHIZ,VERB,,,,,,to,60,10,2,80,0.9210526315789473,0.024390243902439025,0.8571428571428571,2.7916666666666665,24.0,1.5384615384615383,26.0,TO WHIZ,to whiz,3.68181818181818,2.39285714285714,3.4,2.07692307692308,3.0,whiz,to whiz,2.301,2.2253,-18.17204845619671,TO WHIZ,2.347399,2.70805,4.0,36.0,whiz,4,36,1.6094379124341003,3.6109179126442243
TO COST,TO COST,VERB,,,,,,to,28,41,28,69,0.5843373493975904,0.28865979381443296,0.4057971014492754,2.1481481481481484,27.0,1.5333333333333334,30.0,TO COST,to cost,2.90909090909091,2.24137931034483,4.53333333333333,1.61538461538462,2.32,cost,to cost,3.4475,3.3002,-13.510779504733978,TO COST,3.592736,6.877296,14.0,11.0,cost,14,11,2.70805020110221,2.4849066497880004
NAIROBI,NAIROBI,NOUN,geography,world,country,,,,57,25,3,81,0.8313253012048193,0.03571428571428571,0.6951219512195121,0.0526315789473684,19.0,1.0454545454545454,22.0,NAIROBI,Nairobi,2.90909090909091,4.31034482758621,2.96551724137931,3.5,3.16,Nairobi,Nairobi,,,-13.13659660423195,NAIROBI,1.658228,2.302585,0.0,0.0,nairobi,0,0,0.0,0.0
TO LEND,TO LEND,VERB,,,,,,to,40,50,13,86,0.6666666666666666,0.13131313131313133,0.4444444444444444,2.423076923076923,26.0,1.4137931034482758,29.0,TO LEND,to lend,2.40909090909091,2.48275862068966,4.66666666666667,2.57692307692308,3.44,lend,to lend,2.7752,2.6857,-13.060137613779789,TO LEND,3.403971,4.905275,15.0,19.0,lend,15,19,2.772588722239781,2.995732273553991
DEION SANDERS,DEION SANDERS,NOUN,famous people,Sports,,,,,62,15,8,73,0.8544303797468354,0.09876543209876543,0.8051948051948052,0.0454545454545454,22.0,1.0,25.0,DEION SANDERS,Deion Sanders,3.22727272727273,4.72413793103448,3.26666666666667,4.30769230769231,3.16,Deion Sanders,Deion Sanders,,,-17.95831065626303,DEION SANDERS,,,5.0,7.0,deion;sanders,nan;5,nan;7,1.791759469228055,2.0794415416798357
SCATTERGORIES,SCATTERGORIES,NOUN,games,board game,famous,,,,65,16,1,89,0.9005847953216374,0.011111111111111112,0.8024691358024691,0.1578947368421052,19.0,1.0454545454545454,22.0,SCATTERGORIES,Scattergories,3.27272727272727,4.13793103448276,3.4,3.42307692307692,3.56,Scattergories,Scattergories,,,-19.57513342879744,SCATTERGORIES,,,,,scattergories,,,,
GENESIS,GENESIS,NOUN,famous people,"Bands,singers",,,,,73,16,7,89,0.8756756756756757,0.07291666666666667,0.8202247191011236,2.269230769230769,26.0,1.9,30.0,GENESIS,Genesis,3.31818181818182,2.82758620689655,4.03333333333333,2.0,3.32,Genesis,Genesis,,,-11.441858232365568,GENESIS,2.169054,2.70805,0.0,0.0,genesis,0,0,0.0,0.0
A UTILITY KNIFE,A UTILITY KNIFE,NOUN,tool,,,,,a,58,16,2,81,0.8853503184713376,0.024096385542168676,0.7837837837837838,1.1538461538461535,26.0,1.1428571428571428,28.0,A UTILITY KNIFE,a utility knife,3.04545454545455,4.79310344827586,4.73333333333333,4.57692307692308,3.16,utility knife,a utility knife,,,-17.577345735958012,A UTILITY KNIFE,,,1.0,7.0,utility;knife,1;1,2;12,0.6931471805599453,2.0794415416798357
CHANTEL,CHANTEL,NOUN,common names,girl,,,,,48,17,6,65,0.8308823529411765,0.08450704225352113,0.7384615384615385,0.0,17.0,1.1363636363636365,22.0,CHANTEL,Chantel,3.04545454545455,3.31034482758621,2.33333333333333,2.42307692307692,3.04,Chantel,Chantel,,,-15.580274427103406,CHANTEL,,,,,chantel,,,,
TO DISDAIN,TO DISDAIN,VERB,,,,,,to,40,24,10,57,0.7404580152671756,0.14925373134328357,0.625,2.7916666666666665,24.0,1.1785714285714286,28.0,TO DISDAIN,to disdain,3.0,1.79310344827586,3.76666666666667,1.61538461538462,1.76,disdain,to disdain,1.4472,1.3979,-16.590659829867597,TO DISDAIN,2.229118,2.639057,0.0,0.0,disdain,0,0,0.0,0.0
A PALE ALE,A PALE ALE,NOUN,drink,alcoholic,beer,,,a,66,7,8,75,0.9038461538461539,0.0963855421686747,0.9041095890410958,0.5454545454545454,22.0,1.3571428571428572,28.0,A PALE ALE,a pale ale,3.45,4.13793103448276,3.86666666666667,3.76923076923077,3.6,pale ale,a pale ale,,,-18.7501608552476,A PALE ALE,,,24.5,50.5,pale;ale,23;26,49;52,3.2386784521643803,3.9415818076696905
CREAM CHEESE,CREAM CHEESE,NOUN,food,dairy,cheese,,,,69,15,4,90,0.8932584269662921,0.0425531914893617,0.8214285714285714,0.3846153846153846,26.0,1.1,30.0,CREAM CHEESE,cream cheese,2.27272727272727,4.86206896551724,4.76666666666667,4.5,3.8,cream cheese,cream cheese,,,-13.683938125682594,CREAM CHEESE,,,4.0,20.5,cream;cheese,6;2,16;25,1.6094379124341003,3.068052935133617
MARTIN LUTHER KING JR. DAY,MARTIN LUTHER KING JR. DAY,NOUN,calendar items,holiday,,,,,74,9,9,82,0.896551724137931,0.0989010989010989,0.891566265060241,0.1538461538461538,26.0,1.0344827586206895,29.0,MARTIN LUTHER KING JR. DAY,Martin Luther King Jr. Day,2.72727272727273,3.58620689655172,4.46666666666667,2.42307692307692,3.96,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,,-18.486118763806395,MARTIN LUTHER KING JR. DAY,,,12.25,22.75,martin;luther;king;jr.;day,5;1;18;nan;25,3;5;35;nan;48,2.583997552432231,3.1675825304806504
TO TIPTOE,TO TIPTOE,VERB,,,,,,to,50,30,10,78,0.7619047619047619,0.11363636363636363,0.625,1.7692307692307692,26.0,1.3,30.0,TO TIPTOE,to tiptoe,2.72727272727273,3.46428571428571,4.8,4.08,3.16666666666667,tiptoe,to tiptoe,1.6628,1.5911,-16.350936758271683,TO TIPTOE,2.449567,3.258097,0.0,1.0,tiptoe,0,1,0.0,0.6931471805599453
TO ENVISAGE,TO ENVISAGE,VERB,,,,,,to,41,34,2,78,0.7677419354838709,0.025,0.5466666666666666,2.1578947368421053,19.0,1.0555555555555556,18.0,TO ENVISAGE,to envisage,3.0,1.62068965517241,2.56666666666667,1.38461538461538,3.24,envisage,to envisage,0.301,0.301,-14.61408984408145,TO ENVISAGE,,,,,envisage,,,,
TO CLAM,TO CLAM,VERB,,,,,,to,64,18,9,84,0.8457142857142858,0.0967741935483871,0.7804878048780488,1.1578947368421053,19.0,1.3928571428571428,28.0,TO CLAM,to clam,2.31818181818182,2.17241379310345,3.72413793103448,2.08,2.64,clam,to clam,2.3032,2.2014,-17.519058616665276,TO CLAM,1.94591,3.663562,12.0,18.0,clam,12,18,2.5649493574615367,2.9444389791664403
A DESIGNER,A DESIGNER,NOUN,people,A&E,,,,a,54,37,10,90,0.7539267015706806,0.1,0.5934065934065934,1.8148148148148149,27.0,1.6666666666666667,30.0,A DESIGNER,a designer,3.0,3.58620689655172,4.6,2.92307692307692,3.64,designer,a designer,2.4281,2.3139,-13.913723267834692,A DESIGNER,2.094946,4.060443,2.0,4.0,designer,2,4,1.0986122886681098,1.6094379124341003
BEWILDERED,BEWILDERED,ADJ,,,,,,,40,31,9,71,0.7350993377483444,0.1125,0.5633802816901409,3.230769230769231,26.0,1.2,30.0,BEWILDERED,bewildered,3.72727272727273,1.55172413793103,4.46666666666667,2.26923076923077,2.36,bewildered,bewildered,1.7243,1.6628,-12.626297280916202,BEWILDERED,2.935628,3.828641,0.0,0.0,bewildered,0,0,0.0,0.0
TO EVICT,TO EVICT,VERB,,,,,,to,58,28,13,81,0.7722222222222223,0.13829787234042554,0.6744186046511628,2.230769230769231,26.0,1.3666666666666667,30.0,TO EVICT,to evict,3.59090909090909,3.03448275862069,4.5,2.57692307692308,1.44,evict,to evict,1.5682,1.5563,-15.234463774402792,TO EVICT,,,0.0,0.0,evict,0,0,0.0,0.0
AN EARLOBE,AN EARLOBE,NOUN,human body,external,,,,an,52,27,6,86,0.8070175438596491,0.06521739130434782,0.6582278481012658,0.3461538461538461,26.0,1.0,30.0,AN EARLOBE,an earlobe,2.40909090909091,4.75862068965517,4.93333333333333,4.92307692307692,3.12,earlobe,an earlobe,1.2553,1.2041,-17.843204044039066,AN EARLOBE,,,,,earlobe,,,,
EDIBLE,EDIBLE,ADJ,,,,,,,55,27,8,82,0.7965116279069767,0.08888888888888889,0.6707317073170732,1.8846153846153848,26.0,1.1666666666666667,30.0,EDIBLE,edible,3.45454545454545,2.62068965517241,4.73333333333333,2.52,3.8,edible,edible,1.8513,1.8129,-12.744868050496407,EDIBLE,2.315008,3.135494,0.0,1.0,edible,0,1,0.0,0.6931471805599453
