,Word,hits,misses,correct.rejections,false.alarms,word.x,pos,wn_num_meanings,wn_num_synonyms,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,meanings,meanings_n,num_synonyms,syn_n,arousal,concrete,fam,image,valence,X,word.y,mean.cor,num_syn,r.given.w,w.given.r,Acc,freq,M,false.alarm.rate,hit.rate,GloVe distinctiveness
10,ACADEMIC,53,27,73,14,academic,n,4,8,238,181,215,172,4.67,2.3784,2.16,2.2601,1.3703703703703702,27,2.44827586206897,29,2.9583333333333304,2.67857142857143,4.93103448275862,2.25,3.86206896551724,1977,academic,0.378447251614573,3.44827586206897,0.7297297297297299,0.2899999999999996,0.7544910179640718,5.153291594497778,-6.391165950499397,0.16091954022988506,0.6625,0.0876804012650159
11,ACCOMPLICE,47,32,79,11,accomplice,n,1,2,216,147,210,145,4.24,2.3365,1.75,2.1703,1.27586206896552,29,2.57692307692308,26,3.5,3.24,4.6551724137931,2.75862068965517,2.31034482758621,1107,accomplice,0.10476597049131699,3.57692307692308,0.7837837837837821,0.27956989247311803,0.7455621301775148,4.9836066217083355,-6.258109576840111,0.12222222222222222,0.5949367088607594,0.11096302182979725
12,ACCUMULATING,42,35,69,14,accumulating,v,2,13,18,18,17,17,0.35,1.2788,0.21,1.2788,1.18518518518519,27,2.6666666666666696,21,2.8636363636363598,2.1923076923076903,4.9,2.1666666666666696,3.24137931034483,1338,accumulating,0.167384632189776,3.6666666666666696,0.8437499999999966,0.2727272727272725,0.69375,2.8903717578961645,-4.189654742026426,0.1686746987951807,0.5454545454545454,0.11280111750338112
13,ACCURACY,60,19,68,16,accuracy,n,2,3,76,65,73,63,1.49,1.8865,0.77,1.8195,1.2,30,1.7826086956521698,23,2.95652173913043,2.34615384615385,4.75,1.88888888888889,4.2592592592592595,1643,accuracy,0.253003714908054,2.7826086956521703,0.8333333333333334,0.35937500000000044,0.7852760736196319,4.158883083359672,-5.1822719507901915,0.19047619047619047,0.7594936708860759,0.06509891151298683
14,ACHIEVEMENTS,64,26,83,20,achievements,n,1,2,55,52,55,52,1.08,1.7482,0.62,1.7243,1.18518518518519,27,2.1304347826087002,23,4.2222222222222205,2.5,4.96551724137931,2.625,4.75862068965517,1852,achievements,0.324424046547531,3.1304347826087002,0.8437499999999966,0.31944444444444403,0.7616580310880829,3.970291913552122,-5.111463816639028,0.1941747572815534,0.7111111111111111,0.06266886532038643
15,ACRE,55,26,79,10,acre,n,3,6,93,55,67,50,1.82,1.9731,0.66,1.7482,1.12,25,0.307692307692308,26,2.68181818181818,4.38461538461539,4.77777777777778,3.48,3.39285714285714,1480,acre,0.20506893706277401,1.307692307692308,0.8928571428571428,0.7647058823529409,0.7882352941176469,3.9318256327243257,-4.200089619319005,0.11235955056179776,0.6790123456790124,0.04919869464252864
16,ACT,51,33,78,11,act,n,15,36,5565,3086,5100,2923,109.12,3.7455,36.79,3.4895,2.57142857142857,28,3.91304347826087,23,2.96,2.8518518518518503,5.0,2.4,3.44827586206897,2094,act,0.45712745316819503,4.91304347826087,0.3888888888888891,0.20353982300884954,0.7456647398843931,7.980707820869669,-9.57260142365286,0.12359550561797752,0.6071428571428571,0.1442055279872619
17,ADDITION,44,44,91,6,addition,n,6,13,395,361,392,359,7.75,2.5977,4.3,2.5587,2.06896551724138,29,2.0454545454545503,22,2.875,2.88461538461538,4.846153846153849,3.0,3.51851851851852,2192,addition,0.612362729434599,3.04545454545455,0.4833333333333332,0.3283582089552234,0.7297297297297297,5.886104031450156,-6.999754197482807,0.061855670103092786,0.5,0.09208662692151341
18,ADORABLE,49,21,67,7,adorable,s,1,3,537,436,504,409,10.53,2.7308,5.2,2.6405,1.39285714285714,28,4.27272727272727,22,3.68181818181818,1.80769230769231,4.92307692307692,3.2592592592592595,4.730769230769231,690,adorable,-0.00536420449077118,5.27272727272727,0.7179487179487195,0.1896551724137932,0.8055555555555556,6.016157159698354,-7.678704897446402,0.0945945945945946,0.7,0.09816085807060601
19,ADULTS,52,14,68,6,adults,n,2,3,488,411,468,397,9.57,2.6893,4.9,2.6149,1.22222222222222,27,2.24137931034483,29,2.9166666666666696,4.0,4.9666666666666694,4.2222222222222205,3.37931034482759,1982,adults,0.380575852117886,3.24137931034483,0.8181818181818196,0.3085106382978721,0.8571428571428571,5.986452005284437,-7.162450957567969,0.08108108108108109,0.7878787878787878,0.09932615952647031
20,ADVANTAGES,39,43,77,10,advantages,n,4,6,144,124,141,123,2.82,2.1614,1.48,2.0969,1.57142857142857,28,2.82608695652174,23,3.54545454545455,1.68,4.888888888888889,1.77777777777778,4.42307692307692,1867,advantages,0.327764214900416,3.82608695652174,0.6363636363636369,0.2613636363636363,0.6863905325443787,4.820281565605037,-6.162124164154093,0.11494252873563217,0.475609756097561,0.09848005517166238
21,ADVERSITY,58,26,80,16,adversity,n,2,4,54,48,51,46,1.06,1.7404,0.57,1.6902,1.29166666666667,24,2.6153846153846203,26,4.0,1.69230769230769,4.82758620689655,1.64,2.1379310344827602,1326,adversity,0.164300658865561,3.61538461538462,0.7741935483870948,0.27659574468085074,0.7666666666666667,3.8501476017100575,-5.1353458459585815,0.16666666666666666,0.6904761904761905,0.12019464067929438
22,AEROSPACE,59,29,88,3,aerospace,n,1,1,55,34,33,24,1.08,1.7482,0.41,1.5441,1.2,25,0.5416666666666671,24,4.045454545454549,3.0384615384615397,4.703703703703701,2.52,3.55172413793103,1481,aerospace,0.205149945259059,1.541666666666667,0.8333333333333334,0.6486486486486486,0.8212290502793296,3.218875824868201,-3.65173990716448,0.03296703296703297,0.6704545454545454,0.05662094657197162
23,AFFIDAVIT,66,11,76,9,affidavit,n,1,1,100,64,100,64,1.96,2.0043,0.76,1.8129,1.14814814814815,27,1.3,20,2.95454545454545,3.77777777777778,4.06666666666667,2.7916666666666696,2.3448275862069,1153,affidavit,0.11798298008701301,2.3,0.8709677419354825,0.4347826086956522,0.8765432098765432,4.174387269895637,-5.0072963928307415,0.10588235294117647,0.8571428571428571,0.06794639119485897
24,AFFORD,29,48,77,4,afford,v,4,8,2266,1650,2259,1647,44.43,3.3555,19.67,3.2177,1.64285714285714,28,2.2916666666666696,24,2.84,2.28571428571429,5.0,1.6,3.68965517241379,2093,afford,0.456784819648299,3.2916666666666696,0.6086956521739141,0.3037974683544301,0.6708860759493671,7.4073177104694174,-8.598711732588495,0.04938271604938271,0.37662337662337664,0.13930658946603894
25,AFT,53,17,73,7,aft,a,2,4,180,103,156,92,3.53,2.2577,1.23,2.017,1.15384615384615,13,2.25,16,2.0833333333333304,2.81481481481481,3.3333333333333304,1.92857142857143,3.03703703703704,984,aft,0.07326790401522,3.25,0.8666666666666696,0.3076923076923077,0.84,4.532599493153255,-5.711254489494902,0.0875,0.7571428571428571,0.07658874931678912
26,AFTERNOONS,43,29,77,2,afternoons,n,2,3,101,90,99,88,1.98,2.0086,1.07,1.959,1.07407407407407,27,1.3636363636363602,22,2.59090909090909,3.11538461538462,5.0,2.3043478260869596,4.0,1321,afternoons,0.163223271851934,2.36363636363636,0.9310344827586242,0.4230769230769238,0.7947019867549668,4.48863636973214,-5.34883763495525,0.02531645569620253,0.5972222222222222,0.09363663213734091
27,AFTERWARD,35,37,70,10,afterward,r,1,6,112,104,98,93,2.2,2.0531,1.24,2.0212,1.14814814814815,27,2.05,20,2.19047619047619,2.1111111111111103,5.0,1.4583333333333302,3.0689655172413794,2140,afterward,0.492658735189049,3.05,0.8709677419354825,0.3278688524590164,0.6907894736842105,4.543294782270004,-5.658436372889325,0.125,0.4861111111111111,0.16657002911981153
28,AGGIE,62,32,105,4,aggie,,0,0,106,13,1,1,2.08,2.0294,0.15,1.1461,1.16666666666667,18,0.18181818181818202,11,2.6666666666666696,2.56,2.3333333333333304,2.1153846153846203,3.19230769230769,356,aggie,-0.0971371073518104,1.181818181818182,0.8571428571428547,0.8461538461538459,0.8226600985221675,0.6931471805599453,-0.8602012652231117,0.03669724770642202,0.6595744680851063,0.08002850006896148
29,AHAB,62,20,78,8,ahab,n,1,1,41,24,0,0,0.8,1.6232,0.29,1.3979,1.08333333333333,12,0.0,11,2.625,2.9615384615384603,2.32142857142857,2.89285714285714,2.96296296296296,201,ahab,-0.16527749841795403,1.0,0.9230769230769259,1.0,0.8333333333333334,0.0,0.0,0.09302325581395347,0.7560975609756098,0.039949778060859434
30,AHOY,68,14,80,12,ahoy,,0,0,189,98,31,24,3.71,2.2788,1.17,1.9956,1.25925925925926,27,1.85714285714286,28,3.625,2.60714285714286,4.33333333333333,2.0714285714285703,3.62068965517241,460,ahoy,-0.068011058327868,2.8571428571428603,0.7941176470588229,0.3499999999999996,0.8505747126436781,3.218875824868201,-4.26869794936688,0.13043478260869565,0.8292682926829268,0.05740716668769694
31,AIRBAG,47,30,78,6,airbag,,0,0,20,14,20,14,0.39,1.3222,0.17,1.1761,1.3703703703703702,27,0.482758620689655,29,3.0,4.53571428571429,4.93103448275862,4.67857142857143,3.13793103448276,425,airbag,-0.0743592754882719,1.482758620689655,0.7297297297297299,0.6744186046511629,0.7763975155279503,2.7080502011022096,-3.1019544868092983,0.07142857142857142,0.6103896103896104,0.04496618242291845
32,AIRCRAFT,50,40,88,9,aircraft,n,1,1,482,209,433,195,9.45,2.6839,2.49,2.3222,1.07692307692308,26,1.77777777777778,27,3.54545454545455,4.769230769230769,4.89285714285714,4.75,3.2758620689655205,1941,aircraft,0.3587623889653321,2.77777777777778,0.928571428571426,0.3599999999999997,0.7379679144385026,5.278114659230517,-6.299765906762499,0.09278350515463918,0.5555555555555556,0.07190208773848036
33,AIRS,45,34,77,6,airs,n,16,44,39,37,37,35,0.76,1.6021,0.44,1.5798,1.64,25,1.54545454545455,22,2.7727272727272703,2.0,4.37037037037037,1.52,3.03703703703704,1477,airs,0.203916664684315,2.5454545454545503,0.6097560975609756,0.3928571428571421,0.7530864197530864,3.58351893845611,-4.517828175832945,0.07228915662650602,0.569620253164557,0.03685886693774287
34,AKRON,60,16,81,4,akron,n,1,1,38,18,0,0,0.75,1.5911,0.21,1.2788,1.0,19,0.0555555555555556,18,2.1111111111111103,3.60714285714286,3.1724137931034497,2.84,3.10714285714286,829,akron,0.0352564547313658,1.0555555555555556,1.0,0.9473684210526316,0.8757763975155279,0.0,-0.05406722127027582,0.047058823529411764,0.7894736842105263,0.10444053090324615
35,ALARMS,42,41,83,9,alarms,n,6,19,157,112,152,108,3.08,2.1987,1.34,2.0531,1.74074074074074,27,1.7142857142857097,21,4.0,3.88461538461538,4.9666666666666694,3.5416666666666696,2.03448275862069,1267,alarms,0.14907526558829998,2.71428571428571,0.5744680851063833,0.3684210526315795,0.7142857142857143,4.691347882229144,-5.689876712340269,0.09782608695652174,0.5060240963855421,0.07881309895689571
36,ALASKA,52,12,65,3,alaska,n,1,3,223,136,1,1,4.37,2.3502,1.62,2.1367,1.06666666666667,30,0.272727272727273,22,2.9583333333333304,4.38461538461539,4.75,4.46428571428571,3.6666666666666696,1721,alaska,0.276309921126967,1.272727272727273,0.9374999999999972,0.7857142857142856,0.8863636363636364,0.6931471805599453,-0.9343092373768336,0.04411764705882353,0.8125,0.116906069067611
37,ALBANIAN,62,29,92,7,albanian,n,3,3,50,12,0,0,0.98,1.7076,0.14,1.1139,1.0689655172413801,29,0.0476190476190476,21,2.5,3.80769230769231,3.88888888888889,3.22222222222222,3.12,1664,albanian,0.26007654080203696,1.0476190476190477,0.9354838709677414,0.9545454545454544,0.8105263157894737,0.0,-0.04652001563489293,0.0707070707070707,0.6813186813186813,0.07698350716696437
38,ALBUQUERQUE,62,14,75,7,albuquerque,n,1,1,127,60,0,0,2.49,2.1072,0.72,1.7853,1.1,30,0.0476190476190476,21,2.60869565217391,4.34615384615385,4.53571428571429,3.59259259259259,3.34615384615385,998,albuquerque,0.0766955223638889,1.0476190476190477,0.9090909090909092,0.9545454545454544,0.8670886075949367,0.0,-0.04652001563489293,0.08536585365853659,0.8157894736842105,0.10726092975875036
39,ALIBIS,50,25,81,2,alibis,n,3,6,58,50,54,46,1.14,1.7709,0.6,1.7076,1.11538461538462,26,1.5882352941176499,17,3.2608695652173902,2.57692307692308,3.78571428571429,1.7142857142857097,3.0,254,alibis,-0.14291110386361,2.5882352941176503,0.8965517241379273,0.3863636363636359,0.8291139240506329,3.8501476017100575,-4.8011238915721055,0.024096385542168683,0.6666666666666666,0.0678043333267779
40,ALLOTTED,49,37,84,9,allotted,v,4,19,14,14,14,14,0.27,1.1761,0.17,1.1761,1.21428571428571,28,2.9583333333333304,24,2.12,2.25,4.85714285714286,1.4333333333333302,3.03448275862069,1510,allotted,0.213353662050226,3.9583333333333304,0.8235294117647088,0.25263157894736865,0.7430167597765364,2.7080502011022096,-4.083873262354803,0.0967741935483871,0.5697674418604651,0.09446928571414602
41,ALMOST,40,43,71,15,almost,r,1,8,9857,4950,8491,4568,193.27,3.9938,59.01,3.6947,1.11111111111111,27,2.0416666666666696,24,2.4210526315789505,1.57142857142857,4.96551724137931,1.56,2.8275862068965503,2203,almost,0.63394157800187,3.0416666666666696,0.9000000000000009,0.3287671232876709,0.6568047337278107,8.427049641563272,-9.539455252363721,0.1744186046511628,0.4819277108433735,0.1650135042266882
42,ALPHANUMERIC,47,21,71,2,alphanumeric,a,1,4,5,4,5,4,0.1,0.7782,0.05,0.6990000000000001,1.0,26,0.5,28,2.4583333333333304,3.4285714285714306,4.4,2.85714285714286,3.13793103448276,427,alphanumeric,-0.0737130308750185,1.5,1.0,0.6666666666666666,0.8368794326241135,1.6094379124341005,-2.0149030205422647,0.0273972602739726,0.6911764705882353,0.031180017600462136
43,ALREADY,45,33,78,13,already,r,1,1,16246,6350,15769,6297,318.55,4.2108,75.7,3.8028,1.07142857142857,28,1.14285714285714,28,2.47826086956522,1.6896551724137898,4.89285714285714,1.32,3.03571428571429,2213,already,0.6789059954164121,2.14285714285714,0.9333333333333346,0.4666666666666674,0.7278106508875741,8.74798740166097,-9.510127453707863,0.14285714285714285,0.5769230769230769,0.13796126025743216
44,ALZHEIMER,74,10,86,6,alzheimer,,0,0,85,54,0,0,1.67,1.9345,0.64,1.7404,1.03846153846154,26,0.23076923076923103,26,2.95652173913043,3.03448275862069,4.481481481481481,2.6,1.17241379310345,1370,alzheimer,0.17539381641282,1.230769230769231,0.9629629629629616,0.8124999999999998,0.9090909090909092,0.0,-0.2076393647782448,0.06521739130434782,0.8809523809523809,0.05963728004765888
45,AMALGAM,59,30,91,5,amalgam,n,2,3,9,5,9,5,0.18,1.0,0.06,0.7782,1.16666666666667,18,0.941176470588235,17,2.55555555555556,2.53571428571429,3.2758620689655205,2.04,2.85714285714286,634,amalgam,-0.0181090306083112,1.941176470588235,0.8571428571428547,0.5151515151515152,0.8108108108108109,1.791759469228055,-2.455053686638319,0.052083333333333336,0.6629213483146067,0.09811270155631646
46,AMISH,69,15,88,9,amish,n,1,1,90,46,9,3,1.76,1.959,0.55,1.6721,1.15384615384615,26,0.04,25,2.18181818181818,3.73076923076923,4.55172413793103,4.4,3.44827586206897,662,amish,-0.011538159798738002,1.04,0.8666666666666696,0.9615384615384616,0.8674033149171271,1.3862943611198906,-1.425515074273172,0.09278350515463918,0.8214285714285714,0.11831277062034211
47,AMONG,22,56,80,5,among,,0,0,1729,1273,1541,1153,33.9,3.238,15.18,3.1052,1.2,25,2.23076923076923,26,2.5,2.1923076923076903,4.82758620689655,1.8,3.28571428571429,2182,among,0.589386429667567,3.23076923076923,0.8333333333333334,0.3095238095238096,0.6257668711656442,7.050989447068045,-8.223709707889876,0.05882352941176471,0.28205128205128205,0.10291095377450743
48,AMPUTATE,60,25,76,12,amputate,v,1,2,44,40,41,38,0.86,1.6532,0.48,1.6128,1.08,25,1.69230769230769,26,4.09090909090909,3.9615384615384603,4.86206896551724,4.04,1.20689655172414,844,amputate,0.0379630667548892,2.69230769230769,0.9259259259259258,0.3714285714285718,0.7861271676300579,3.6635616461296463,-4.653960350157521,0.13636363636363635,0.7058823529411765,0.08896247054046677
49,AN,58,18,80,4,an,n,1,2,95071,8285,90046,8271,1864.14,4.9781,98.77,3.9183,1.10344827586207,29,0.2,25,1.8181818181818201,2.2592592592592595,4.79310344827586,1.10344827586207,3.0,2196,an,0.617006552239352,1.2,0.9062499999999992,0.8333333333333334,0.8625,9.020631596748212,-9.202953153542165,0.047619047619047616,0.7631578947368421,0.10262967986817009
50,ANATOMY,38,19,55,12,anatomy,n,3,17,163,125,140,114,3.2,2.2148,1.49,2.1004,1.14814814814815,27,1.04545454545455,22,3.05555555555556,3.2962962962963,4.89655172413793,3.44,3.28571428571429,1223,anatomy,0.134583944135004,2.0454545454545503,0.8709677419354825,0.4888888888888877,0.75,4.74493212836325,-5.4605521647752555,0.1791044776119403,0.6666666666666666,0.10628739153706679
51,ANEURYSM,62,12,81,2,aneurysm,n,1,2,101,71,94,68,1.98,2.0086,0.85,1.8573,1.11538461538462,26,0.5,22,4.27272727272727,3.84615384615385,3.92592592592593,2.8518518518518503,1.23076923076923,849,aneurysm,0.0388762368967404,1.5,0.8965517241379273,0.6666666666666666,0.9108280254777071,4.23410650459726,-4.639571612705423,0.024096385542168683,0.8378378378378378,0.05720947289251207
52,ANEW,46,34,88,2,anew,r,1,2,44,41,44,41,0.86,1.6532,0.49,1.6232,1.15384615384615,26,1.61904761904762,21,3.27777777777778,1.64285714285714,4.24137931034483,1.68,3.86206896551724,1736,anew,0.28376210138027697,2.61904761904762,0.8666666666666696,0.3818181818181817,0.7882352941176469,3.737669618283368,-4.700480365792417,0.022222222222222227,0.575,0.14501584525543257
53,ANGUS,72,4,75,9,angus,n,2,7,208,44,0,0,4.08,2.3201,0.52,1.6532,1.64,25,0.5,22,3.2272727272727297,3.57692307692308,4.071428571428569,2.84,3.20689655172414,831,angus,0.0355564020985486,1.5,0.6097560975609756,0.6666666666666666,0.91875,0.0,-0.4054651081081645,0.10714285714285714,0.9473684210526316,0.07729005290561748
54,ANNA,59,19,83,3,anna,n,1,1,1738,268,1,1,34.08,3.2403,3.2,2.4298,1.125,24,0.0434782608695652,23,2.44444444444444,3.35714285714286,4.24137931034483,2.88,3.4285714285714306,1464,anna,0.20020493587909502,1.0434782608695652,0.8888888888888888,0.9583333333333334,0.8658536585365854,0.6931471805599453,-0.7357067949787411,0.034883720930232565,0.7564102564102564,0.1093314041974172
55,ANONYMOUS,61,12,56,27,anonymous,a,2,3,429,323,358,286,8.41,2.6335,3.85,2.5105,1.5,30,1.6363636363636398,22,2.8695652173912998,2.3846153846153797,4.7407407407407405,1.60714285714286,3.11111111111111,1765,anonymous,0.292197152782803,2.63636363636364,0.6666666666666666,0.3793103448275856,0.75,5.6594822157596205,-6.628882772947726,0.3253012048192771,0.8356164383561644,0.09164939892594802
56,ANTHEM,54,25,76,8,anthem,n,2,3,96,72,75,57,1.88,1.9868,0.86,1.8633,1.55555555555556,27,1.52173913043478,23,3.38888888888889,2.96428571428571,4.93103448275862,2.56,3.89655172413793,1713,anthem,0.27473742603358103,2.52173913043478,0.642857142857141,0.3965517241379313,0.7975460122699386,4.060443010546419,-4.9853918051636885,0.09523809523809523,0.6835443037974683,0.09581595789106047
57,ANTIDOTE,44,25,65,12,antidote,n,1,2,221,82,213,81,4.33,2.3464,0.98,1.9191,1.24137931034483,29,1.6666666666666698,27,3.04545454545455,3.2592592592592595,4.58620689655172,2.89655172413793,4.03448275862069,1135,antidote,0.11200010918480902,2.6666666666666696,0.8055555555555539,0.3749999999999995,0.7465753424657534,4.4067192472642525,-5.387548500275981,0.15584415584415584,0.6376811594202898,0.12454893467089177
58,ANTOINETTE,67,13,81,4,antoinette,,0,0,63,28,0,0,1.24,1.8062,0.33,1.4624,1.11111111111111,27,0.0,19,2.82608695652174,3.69230769230769,3.46428571428571,3.14285714285714,3.2592592592592595,413,antoinette,-0.07850167222087301,1.0,0.9000000000000009,1.0,0.8969696969696971,0.0,0.0,0.047058823529411764,0.8375,0.057765395433126136
59,ANTS,65,16,80,8,ants,n,1,3,365,147,329,138,7.16,2.5635,1.75,2.1703,1.07407407407407,27,0.517241379310345,29,2.5833333333333304,4.92857142857143,5.0,4.89285714285714,2.3448275862069,1078,ants,0.0958767183919929,1.517241379310345,0.9310344827586242,0.6590909090909091,0.8579881656804734,4.934473933130692,-5.351367737062478,0.09090909090909093,0.8024691358024691,0.12221856273040012
60,ANUS,71,5,75,7,anus,n,1,1,56,41,49,39,1.1,1.7559,0.49,1.6232,1.3703703703703702,27,2.81818181818182,22,3.18181818181818,4.730769230769231,4.66666666666667,4.57692307692308,2.1923076923076903,510,anus,-0.0536803305697922,3.81818181818182,0.7297297297297299,0.2619047619047617,0.9240506329113924,3.688879454113936,-5.028653799598935,0.08536585365853659,0.9342105263157896,0.11515584108795562
61,ANVILS,60,20,82,5,anvils,n,2,3,8,3,8,3,0.16,0.9542,0.04,0.6021,1.03703703703704,27,0.19047619047619,21,2.72222222222222,4.53571428571429,4.2758620689655205,4.2,2.71428571428571,88,anvils,-0.25258855836576605,1.19047619047619,0.9642857142857114,0.8400000000000003,0.8502994011976048,1.3862943611198906,-1.5606477482646683,0.057471264367816084,0.75,0.06367547924333251
62,ANXIETIES,50,19,71,3,anxieties,n,2,3,27,27,27,27,0.53,1.4472,0.32,1.4472,1.07142857142857,28,2.07407407407407,27,3.7391304347826098,1.8620689655172398,4.703703703703701,2.24,1.51724137931034,1166,anxieties,0.12002146496995099,3.07407407407407,0.9333333333333346,0.32530120481927755,0.8461538461538461,3.332204510175204,-4.455208251967472,0.040540540540540536,0.7246376811594203,0.12005747960372316
63,APHRODITE,59,19,84,7,aphrodite,n,1,2,101,35,0,0,1.98,2.0086,0.42,1.5563,1.20833333333333,24,0.4,20,4.22727272727273,3.28,3.88461538461538,3.81481481481481,3.9615384615384603,399,aphrodite,-0.0824277109842632,1.4,0.827586206896554,0.7142857142857143,0.8461538461538461,0.0,-0.3364722366212129,0.07692307692307693,0.7564102564102564,0.06852342082848238
64,APIECE,34,33,78,2,apiece,r,1,5,202,169,196,165,3.96,2.3075,2.01,2.2304,1.15,20,1.38095238095238,21,2.4210526315789505,2.0,3.9310344827586206,1.76,3.21428571428571,1617,apiece,0.24507011123864103,2.38095238095238,0.8695652173913044,0.42000000000000015,0.7619047619047619,5.111987788356544,-5.9794883560612675,0.025,0.5074626865671642,0.08863499290268818
65,APOTHECARY,51,19,71,6,apothecary,n,1,6,20,9,16,8,0.39,1.3222,0.11,1.0,1.04,25,1.1304347826087,23,3.0,4.07692307692308,3.71428571428571,3.68,3.46428571428571,192,apothecary,-0.168689673702181,2.1304347826087002,0.9615384615384616,0.4693877551020399,0.8299319727891157,2.19722457733622,-2.9535506595176986,0.07792207792207792,0.7285714285714285,0.08260393518993432
66,APPROXIMATE,44,34,83,5,approximate,v,5,14,64,58,57,53,1.25,1.8129,0.69,1.7709,1.2962962962963,27,2.38095238095238,21,2.2727272727272703,1.8,4.9,1.4166666666666698,3.10344827586207,1420,approximate,0.187675600147681,3.3809523809523796,0.7714285714285692,0.29577464788732405,0.7650602409638554,3.9889840465642745,-5.207141485882167,0.05681818181818181,0.5641025641025641,0.06757747024043213
